   0.0 TEL | Telepresence 0.104 launched at Mon Feb 24 21:41:05 2020
   5.7 >>> | Starting network proxy to cluster using the existing proxy Deployment recommendation-v1-v1-feature-x
   5.7 TEL | [10] Running: oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6443/aslak --namespace workspace-demo get deployment recommendation-v1-v1-feature-x
   6.7  10 | NAME                             READY   UP-TO-DATE   AVAILABLE   AGE
   6.7  10 | recommendation-v1-v1-feature-x   0/1     1            0           8s
   6.7 TEL | [10] ran in 1.04 secs.
   6.8 TEL | BEGIN SPAN remote.py:142(get_remote_info)
   6.8 TEL | BEGIN SPAN remote.py:75(get_deployment_json)
   6.8 TEL | [11] Capturing: oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6443/aslak --namespace workspace-demo get deployment -o json recommendation-v1-v1-feature-x
   7.6 TEL | [11] captured in 0.80 secs.
   7.6 TEL | END SPAN remote.py:75(get_deployment_json)    0.8s
   7.6 TEL | Searching for Telepresence pod:
   7.6 TEL |   with name recommendation-v1-v1-feature-x-*
   7.6 TEL |   with labels {'app': 'recommendation', 'telepresence': 'test', 'version': 'v1-feature-x', 'version-source': 'v1'}
   7.6 TEL | [12] Capturing: oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6443/aslak --namespace workspace-demo get pod -o json
   8.6 TEL | [12] captured in 1.03 secs.
   8.6 TEL | Checking customer-v1-76964895dd-5qlfn
   8.6 TEL | --> Name does not match
   8.6 TEL | Checking istio-workspace-696f5f8bcc-ssggl
   8.6 TEL | --> Name does not match
   8.6 TEL | Checking preference-v1-86556c7-hcvt9
   8.6 TEL | --> Name does not match
   8.6 TEL | Checking preference-v1-v1-feature-x-6dcd69b46f-v55hh
   8.6 TEL | --> Name does not match
   8.6 TEL | Checking recommendation-v1-5fdc4899bd-nrsgz
   8.6 TEL | --> Name does not match
   8.6 TEL | Checking recommendation-v1-v1-feature-x-9d4489748-k5cmx
   8.6 TEL | Looks like we've found our pod!
   8.6 TEL | BEGIN SPAN remote.py:104(wait_for_pod)
   8.6 TEL | [13] Capturing: oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6443/aslak --namespace workspace-demo get pod recommendation-v1-v1-feature-x-9d4489748-k5cmx -o json
   9.4 TEL | [13] captured in 0.80 secs.
   9.4 TEL | END SPAN remote.py:104(wait_for_pod)    0.8s
   9.4 TEL | END SPAN remote.py:142(get_remote_info)    2.6s
   9.4 TEL | BEGIN SPAN connect.py:37(connect)
   9.4 TEL | [14] Launching kubectl logs: oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6443/aslak --namespace workspace-demo logs -f recommendation-v1-v1-feature-x-9d4489748-k5cmx --container recommendation --tail=10
   9.4 TEL | [15] Launching kubectl port-forward: oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6443/aslak --namespace workspace-demo port-forward recommendation-v1-v1-feature-x-9d4489748-k5cmx 45153:8022
   9.4 TEL | [16] Running: ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 45153 telepresence@127.0.0.1 /bin/true
   9.4 TEL | [16] exit 255 in 0.01 secs.
   9.7 TEL | [17] Running: ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 45153 telepresence@127.0.0.1 /bin/true
   9.7 TEL | [17] exit 255 in 0.01 secs.
   9.9 TEL | [18] Running: ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 45153 telepresence@127.0.0.1 /bin/true
   9.9 TEL | [18] exit 255 in 0.01 secs.
  10.2 TEL | [19] Running: ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 45153 telepresence@127.0.0.1 /bin/true
  10.2 TEL | [19] exit 255 in 0.01 secs.
  10.4 TEL | [20] Running: ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 45153 telepresence@127.0.0.1 /bin/true
  10.4 TEL | [20] exit 255 in 0.01 secs.
  10.7  14 | 2020-02-24T20:41:13+0000 [-] Loading ./forwarder.py...
  10.7  14 | 2020-02-24T20:41:14+0000 [-] /etc/resolv.conf changed, reparsing
  10.7  14 | 2020-02-24T20:41:14+0000 [-] Resolver added ('172.30.0.10', 53) to server list
  10.7  14 | 2020-02-24T20:41:14+0000 [-] SOCKSv5Factory starting on 9050
  10.7  14 | 2020-02-24T20:41:14+0000 [socks.SOCKSv5Factory#info] Starting factory <socks.SOCKSv5Factory object at 0x7feb32f14be0>
  10.7  14 | 2020-02-24T20:41:14+0000 [-] DNSDatagramProtocol starting on 9053
  10.7  14 | 2020-02-24T20:41:14+0000 [-] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7feb32f14f60>
  10.7  14 | 2020-02-24T20:41:14+0000 [-] Loaded.
  10.7  14 | 2020-02-24T20:41:14+0000 [twisted.scripts._twistd_unix.UnixAppLogger#info] twistd 19.10.0 (/usr/bin/python3.6 3.6.8) starting up.
  10.7  14 | 2020-02-24T20:41:14+0000 [twisted.scripts._twistd_unix.UnixAppLogger#info] reactor class: twisted.internet.epollreactor.EPollReactor.
  10.7 TEL | [21] Running: ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 45153 telepresence@127.0.0.1 /bin/true
  10.7 TEL | [21] exit 255 in 0.02 secs.
  11.0 TEL | [22] Running: ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 45153 telepresence@127.0.0.1 /bin/true
  11.0 TEL | [22] exit 255 in 0.01 secs.
  11.1  15 | Forwarding from 127.0.0.1:45153 -> 8022
  11.1  15 | Forwarding from [::1]:45153 -> 8022
  11.2 TEL | [23] Running: ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 45153 telepresence@127.0.0.1 /bin/true
  11.2  15 | Handling connection for 45153
  12.4 TEL | [23] ran in 1.17 secs.
  12.4 TEL | [24] Launching SSH port forward (exposed ports): ssh -N -oServerAliveInterval=1 -oServerAliveCountMax=10 -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 45153 telepresence@127.0.0.1 -R '*:8080:127.0.0.1:8083'
  12.4 TEL | Launching Web server for proxy poll
  12.4 TEL | [25] Launching SSH port forward (socks and proxy poll): ssh -N -oServerAliveInterval=1 -oServerAliveCountMax=10 -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q -p 45153 telepresence@127.0.0.1 -L127.0.0.1:38387:127.0.0.1:9050 -R9055:127.0.0.1:42019
  12.4 TEL | END SPAN connect.py:37(connect)    3.0s
  12.4 TEL | BEGIN SPAN remote_env.py:29(get_remote_env)
  12.4 TEL | [26] Capturing: oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6443/aslak --namespace workspace-demo exec recommendation-v1-v1-feature-x-9d4489748-k5cmx --container recommendation -- python3 podinfo.py
  12.4  15 | Handling connection for 45153
  12.4  15 | Handling connection for 45153
  14.5 TEL | [26] captured in 2.09 secs.
  14.5 TEL | END SPAN remote_env.py:29(get_remote_env)    2.1s
  14.5 TEL | BEGIN SPAN mount.py:30(mount_remote_volumes)
  14.5 TEL | [27] Running: sshfs -p 45153 -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null telepresence@127.0.0.1:/ /tmp/tel-c1j9_tgi/fs
  14.5  15 | Handling connection for 45153
  15.8 TEL | [27] ran in 1.33 secs.
  15.8 TEL | END SPAN mount.py:30(mount_remote_volumes)    1.3s
  15.8 TEL | BEGIN SPAN local.py:42(set_up_torsocks)
  15.8 TEL | [28] Running: torsocks python3 -c 'import socket; socket.socket().connect(('"'"'kubernetes.default'"'"', 443))'
  16.7 TEL | [28] ran in 0.85 secs.
  16.7 TEL | END SPAN local.py:42(set_up_torsocks)    0.9s
  16.7 >>> | Setup complete. Launching your command.
  16.7 TEL | Everything launched. Waiting to exit...
  16.7 TEL | BEGIN SPAN runner.py:725(wait_for_exit)
1582576882 WARNING torsocks[158184]: [syscall] Unsupported syscall number 229. Denying the call (in tsocks_syscall() at syscall.c:567)
1582576887 WARNING torsocks[158247]: [syscall] Unsupported syscall number 229. Denying the call (in tsocks_syscall() at syscall.c:567)
  38.8 TEL | (proxy checking local liveness)
  38.9  14 | 2020-02-24T20:41:44+0000 [Poll#info] Checkpoint
  68.7 TEL | (proxy checking local liveness)
  68.8  14 | 2020-02-24T20:42:14+0000 [Poll#info] Checkpoint
  98.8 TEL | (proxy checking local liveness)
  98.9  14 | 2020-02-24T20:42:44+0000 [Poll#info] Checkpoint
 128.8 TEL | (proxy checking local liveness)
 128.9  14 | 2020-02-24T20:43:14+0000 [Poll#info] Checkpoint
 158.7 TEL | (proxy checking local liveness)
 158.8  14 | 2020-02-24T20:43:44+0000 [Poll#info] Checkpoint
 188.7 TEL | (proxy checking local liveness)
 188.9  14 | 2020-02-24T20:44:14+0000 [Poll#info] Checkpoint
 205.3 >>> | Received signal SIGTERM while in function wait_for_exit
 205.3 TEL | EXITING successful session.
 205.3 >>> | Exit cleanup in progress
 205.3 TEL | (Cleanup) Terminate local process
 205.3 TEL | Killing local process...
 205.7 TEL | Main process (torsocks mvn compile quarkus:dev -Ddebug=5003 -Dsuspend=n -Dquarkus.http.port=8083)
 205.7 TEL | (Cleanup) Unmount remote filesystem
 205.7 TEL |  exited with code 143.
 205.7 TEL | [29] Running: fusermount -z -u /tmp/tel-c1j9_tgi/fs
 205.7  29 | fusermount: entry for /tmp/tel-c1j9_tgi/fs not found in /etc/mtab
 205.7 TEL | [29] exit 1 in 0.00 secs.
 205.7 TEL | (Cleanup) Unmount remote filesystem failed:
 205.7 TEL | (Cleanup)   Command '['fusermount', '-z', '-u', '/tmp/tel-c1j9_tgi/fs']' returned non-zero exit status 1.
 205.7 TEL | (Cleanup) Kill BG process [25] SSH port forward (socks and proxy poll)
 205.7 TEL | [25] SSH port forward (socks and proxy poll): exit 0
 205.7 TEL | (Cleanup) Kill Web server for proxy poll
 205.7  15 | E0224 21:44:31.686486  157624 portforward.go:363] error copying from remote stream to local connection: readfrom tcp4 127.0.0.1:45153->127.0.0.1:42850: write tcp4 127.0.0.1:45153->127.0.0.1:42850: write: broken pipe
 205.7 TEL | (Cleanup) Kill BG process [24] SSH port forward (exposed ports)
 205.7 TEL | [24] SSH port forward (exposed ports): exit 0
 205.7 TEL | (Cleanup) Kill BG process [15] kubectl port-forward
 205.7 TEL | [15] kubectl port-forward: exit -15
 205.8 TEL | (Cleanup) Kill BG process [14] kubectl logs
 205.8 TEL | [14] kubectl logs: exit -15
 205.8 TEL | Background process (kubectl logs) exited with return code -15. Command was:
 205.8 TEL |   oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6443/aslak --namespace workspace-demo logs -f recommendation-v1-v1-feature-x-9d4489748-k5cmx --container recommendation --tail=10
 205.8 TEL | 
 205.8 TEL | Recent output was:
 205.8 TEL |   2020-02-24T20:41:14+0000 [-] Starting protocol <twisted.names.dns.DNSDatagramProtocol object at 0x7feb32f14f60>
 205.8 TEL |   2020-02-24T20:41:14+0000 [-] Loaded.
 205.8 TEL |   2020-02-24T20:41:14+0000 [twisted.scripts._twistd_unix.UnixAppLogger#info] twistd 19.10.0 (/usr/bin/python3.6 3.6.8) starting up.
 205.8 TEL |   2020-02-24T20:41:14+0000 [twisted.scripts._twistd_unix.UnixAppLogger#info] reactor class: twisted.internet.epollreactor.EPollReactor.
 205.8 TEL |   2020-02-24T20:41:44+0000 [Poll#info] Checkpoint
 205.8 TEL |   2020-02-24T20:42:14+0000 [Poll#info] Checkpoint
 205.8 TEL |   2020-02-24T20:42:44+0000 [Poll#info] Checkpoint
 205.8 TEL |   2020-02-24T20:43:14+0000 [Poll#info] Checkpoint
 205.8 TEL |   2020-02-24T20:43:44+0000 [Poll#info] Checkpoint
 205.8 TEL |   2020-02-24T20:44:14+0000 [Poll#info] Checkpoint
 205.8 TEL | (Cleanup) Stop time tracking
 205.8 TEL | END SPAN main.py:40(main)  205.7s
 205.8 TEL | SPAN SUMMARY:
 205.8 TEL |  205.7s main.py:40(main)
 205.8 TEL |    2.9s   startup.py:83(set_kube_command)
 205.8 TEL |    0.1s     1 kubectl config current-context
 205.8 TEL |    0.9s     2 kubectl --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-
 205.8 TEL |    0.1s     3 kubectl --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-
 205.8 TEL |    0.7s     4 kubectl --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-
 205.8 TEL |    1.0s     5 kubectl --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-
 205.8 TEL |    ???     6 minishift ip
 205.8 TEL |    1.1s       7 oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6
 205.8 TEL |    0.0s       8 ssh -V
 205.8 TEL |    1.1s       9 oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:6
 205.8 TEL |    1.0s       10 oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:
 205.8 TEL |    2.6s       remote.py:142(get_remote_info)
 205.8 TEL |    0.8s         remote.py:75(get_deployment_json)
 205.8 TEL |    0.8s           11 oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:
 205.8 TEL |    1.0s         12 oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:
 205.8 TEL |    0.8s         remote.py:104(wait_for_pod)
 205.8 TEL |    0.8s           13 oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:
 205.8 TEL |    3.0s       connect.py:37(connect)
 205.8 TEL |    0.0s         16 ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q
 205.8 TEL |    0.0s         17 ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q
 205.8 TEL |    0.0s         18 ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q
 205.8 TEL |    0.0s         19 ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q
 205.8 TEL |    0.0s         20 ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q
 205.8 TEL |    0.0s         21 ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q
 205.8 TEL |    0.0s         22 ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q
 205.8 TEL |    1.2s         23 ssh -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/dev/null -q
 205.8 TEL |    2.1s       remote_env.py:29(get_remote_env)
 205.8 TEL |    2.1s         26 oc --context workspace-demo/api-yuaxu-maistra-daily-devcluster-openshift-com:
 205.8 TEL |    1.3s       mount.py:30(mount_remote_volumes)
 205.8 TEL |    1.3s         27 sshfs -p 45153 -F /dev/null -oStrictHostKeyChecking=no -oUserKnownHostsFile=/
 205.8 TEL |    0.9s       local.py:42(set_up_torsocks)
 205.8 TEL |    0.9s         28 torsocks python3 -c 'import socket; socket.socket().connect(('"'"'kubernetes.
 205.8 TEL |    ???       runner.py:725(wait_for_exit)
 205.8 TEL |    0.0s         29 fusermount -z -u /tmp/tel-c1j9_tgi/fs
 205.8 TEL | (Cleanup) Remove temporary directory
 205.8 TEL | (Cleanup) Save caches
